EB Cry ( 0 events) was calibrated to avg: -10, 225, hash: 27224	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 51, hash: 27410	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 52, hash: 27411	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 53, hash: 27412	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 54, hash: 27413	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 55, hash: 27414	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 221, hash: 27580	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 222, hash: 27581	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 223, hash: 27582	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 224, hash: 27583	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -9, 225, hash: 27584	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 51, hash: 27770	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 52, hash: 27771	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 53, hash: 27772	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 54, hash: 27773	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 55, hash: 27774	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 221, hash: 27940	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 222, hash: 27941	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 223, hash: 27942	 Calib: -1	 Error: -1
EB Cry ( 0 events) was calibrated to avg: -8, 224, hash: 27943	 Calib: -1	 Error: -1
